,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
14726,Mercedes Benz,2008,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,3.0,260.0
25794,VinFast,2022,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.4,348.0
22146,Toyota,2021,Hà Nội,Cũ,98000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Đen,Đen,5,4,RFD,Dầu,2.4,650.0
13937,Mazda,2018,Hà Nội,Cũ,58000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.5,668.0
5391,Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7,5,AWD,Dầu,2.2,1209.0
14998,Mercedes Benz,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,2.0,2799.0
13119,Mazda,2015,TP HCM,Cũ,82000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,450.0
1813,Ford,2023,TP HCM,Cũ,5000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tay,Trắng,Đen,5,4,RFD,Dầu,2.0,625.0
218,Audi,2022,TP HCM,Cũ,25000.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,2.0,2350.0
21793,Toyota,2018,Hà Nội,Cũ,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,1.8,560.0
25669,VinFast,2023,Hà Nội,Cũ,19000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,6,5,AWD,Điện,0.2,1180.0
17052,MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,480.0
9007,Kia,2023,Hải Phòng,Cũ,28000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Trắng,5,5,AWD,Xăng,1.6,979.0
16903,Mercedes Benz,2021,TP HCM,Cũ,31000.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Trắng,5,5,RFD,Xăng,2.0,1400.0
14860,Mercedes Benz,2019,Hà Nội,Cũ,62000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,2.0,999.0
15181,Mercedes Benz,2015,Hà Nội,Cũ,64000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,RFD,Xăng,3.0,1350.0
879,BMW,2012,TP HCM,Cũ,90000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,2.0,420.0
17836,Mitsubishi,2021,TP HCM,Cũ,51000.0,Nhập khẩu,SUV,Số tự động,Đen,Nhiều màu,7,5,FWD,Xăng,1.5,579.0
26192,Volkswagen,2023,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,3099.0
17807,Mitsubishi,2023,TP HCM,Cũ,3000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,7,5,FWD,Xăng,1.5,659.0
9834,Kia,2022,Hà Nội,Cũ,37000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nhiều màu,5,4,FWD,Xăng,1.6,599.0
26300,Volvo,2023,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.0,4050.0
25661,VinFast,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Nâu,5,5,AWD,Điện,0.2,1270.0
