Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Kia,2022,Hà Nội,Cũ,21000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Xanh,Nâu,7,5,FWD,Dầu,2.2,1369.0
Hyundai,2020,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Dầu,2.2,915.0
Mitsubishi,2020,Đà Nẵng,Cũ,40000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,7,5,FWD,Xăng,2.0,680.0
Toyota,2008,Hà Nội,Cũ,126800.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Ghi,5,4,FWD,Xăng,1.8,268.0
BMW,2016,Thái Bình,Cũ,55000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,799.0
Lexus,2019,Hà Nội,Cũ,22999.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.5,1830.0
Mitsubishi,2022,Hà Nội,Cũ,5100.0,Nhập khẩu,SUV,Số tự động,Bạc,Kem,7,5,FWD,Xăng,1.5,551.0
Toyota,2021,TP HCM,Cũ,64000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,RFD,Dầu,2.4,930.0
Mitsubishi,2019,Bắc Ninh,Cũ,110000.0,Nhập khẩu,SUV,Số tự động,Nâu,Kem,7,5,FWD,Xăng,1.5,495.0
Ford,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Nâu,Nâu,7,5,4WD,Dầu,2.0,1468.0
Mazda,2016,Hà Nội,Cũ,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,393.0
Lexus,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Cam,Đỏ,5,5,AWD,Xăng,2.4,3430.0
