,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
10437,Hyundai,Grand Starex 2.5 MT,2012.0,499000000.0,Hà Nội,Xe đã dùng,110000.0,Nhập khẩu,Van/Minivan,Số tay,Vàng,Kem,9.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
15077,Honda,CRV 2.0 AT,2014.0,545000000.0,Thái Bình,Xe đã dùng,12000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
15420,Toyota,Veloz Cross 1.5 CVT,2022.0,602000000.0,Hà Nội,Xe đã dùng,60000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
28864,Kia,K3 Premium 2.0 AT,2022.0,655000000.0,Hà Nội,Xe đã dùng,10000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
12298,Hyundai,Accent 1.4 AT,2022.0,468000000.0,Hà Nội,Xe đã dùng,11000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.4
29978,Kia,Cerato 1.6 AT Luxury,2020.0,510000000.0,Hà Nội,Xe đã dùng,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.6
15579,Toyota,Camry 2.5Q,2021.0,965000000.0,TP HCM,Xe đã dùng,41000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.5
22514,Jeep,Wrangler Willys 2.0 4x4 AT,2021.0,2750000000.0,TP HCM,Xe đã dùng,30000.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,5.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.0
25489,Isuzu,MU-X 2.5 4X2 MT,2016.0,485000000.0,TP HCM,Xe đã dùng,87000.0,Nhập khẩu,SUV,Số tay,Trắng,Nâu,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
18599,Toyota,Vios E CVT,2023.0,536000000.0,Vĩnh Phúc,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Cát,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
705,Ford,Tourneo Limousine 2.0 AT,2019.0,800000000.0,TP HCM,Xe đã dùng,38000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Đen,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
13233,Hyundai,Tucson 2.0 ATH,2020.0,765000000.0,Hà Nội,Xe đã dùng,31000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
10716,Hyundai,Tucson 2.0 AT CRDi Đặc biệt,2023.0,915000000.0,Hải Phòng,Xe đã dùng,26000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Dầu,2.0
18991,Toyota,Innova 2.0E,2018.0,495000000.0,Đồng Nai,Xe đã dùng,86000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Nâu,8.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
13219,Hyundai,SantaFe Cao cấp 2.5L HTRAC,2021.0,1095000000.0,Hà Nội,Xe đã dùng,32000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.5
