,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
17064,Toyota,Land Cruiser 3.5 V6,2024.0,4286000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đồng,Ghi,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.4
9853,BMW,3 Series 323i AT,1999.0,160000000.0,TP HCM,Xe đã dùng,200000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.5
15574,Toyota,Prado VX 2.7L,2017.0,1850000000.0,Hà Nội,Xe đã dùng,97000.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,7.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.7
30270,Kia,Seltos Luxury 1.4 AT,2021.0,599000000.0,Hà Nội,Xe đã dùng,36.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
2542,Ford,Everest Titanium 2.0L 4x2 AT,2022.0,1036000000.0,TP HCM,Xe đã dùng,17800.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
22443,Jeep,Wrangler Rubicon 2.0 4x4 AT,2024.0,4088000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Nhiều màu,5.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.0
13211,Hyundai,Elantra 1.6 AT Tiêu chuẩn,2022.0,575000000.0,Hà Nội,Xe đã dùng,4000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.6
30245,Kia,Morning 1.0 MT,2016.0,160000000.0,Thanh Hóa,Xe đã dùng,98648.0,Lắp ráp trong nước,Hatchback,Số tay,Vàng,Ghi,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.0
3381,Ford,Ranger XLS 2.2L 4x2 AT,2020.0,550000000.0,TP HCM,Xe đã dùng,58000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xám,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
13622,Hyundai,Tucson 2.0 ATH,2020.0,759000000.0,Đà Nẵng,Xe đã dùng,20000.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
26107,Lexus,ES 250 F Sport,2022.0,2420000000.0,Hà Nội,Xe đã dùng,6000.0,Nhập khẩu,Sedan,Số tự động,Bạc,Nhiều màu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.5
1102,Ford,Transit Standard MID,2016.0,435000000.0,Hà Nội,Xe đã dùng,160000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Vàng,16.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.4
22598,Volvo,S60 B5 R-Design AWD,2021.0,1488000000.0,Hà Nội,Xe đã dùng,13000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5.0,4.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
21006,Chevrolet,Vivant CDX AT,2008.0,148000000.0,Hà Nội,Xe đã dùng,140000.0,Lắp ráp trong nước,Crossover,Số tự động,Bạc,Ghi,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
7811,Mercedes,Benz GL 400 4Matic,2015.0,1240000000.0,Hà Nội,Xe đã dùng,98000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.0
27127,Subaru,Forester 2.0i-L,2023.0,849000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
13773,Honda,Civic 2.0 AT,2014.0,385000000.0,Hà Nội,Xe đã dùng,100000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
7369,Mercedes,Benz ML Class ML350,2008.0,293000000.0,TP HCM,Xe đã dùng,90000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.5
7038,Mercedes,Benz C class C250 Exclusive,2017.0,795000000.0,Hà Nội,Xe đã dùng,98000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
2463,Ford,Everest Titanium 2.0L 4x2 AT,2024.0,1299000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Ghi,-,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
18268,Toyota,Innova 2.0G,2020.0,660000000.0,Hải Phòng,Xe đã dùng,89999.0,Lắp ráp trong nước,Crossover,Số tự động,Xám,Nâu,8.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
8959,Mercedes,Benz C class C250 AMG,2015.0,680000000.0,Hà Nội,Xe đã dùng,120000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
20921,Toyota,Fortuner 2.5G,2016.0,580000000.0,TP HCM,Xe đã dùng,155000.0,Lắp ráp trong nước,SUV,Số tay,Bạc,Kem,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
20618,Toyota,Corolla altis 1.8G AT,2008.0,295000000.0,Hà Nội,Xe đã dùng,150000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
29973,Kia,Carens SX 2.0 AT,2010.0,295000000.0,Hà Nội,Xe đã dùng,14680.0,Lắp ráp trong nước,Crossover,Số tự động,Ghi,Ghi,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
6951,Mercedes,Benz GLB 35 4Matic,2023.0,2350000000.0,TP HCM,Xe đã dùng,500.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
17698,Toyota,Veloz Cross Top 1.5 CVT,2022.0,630000000.0,Hải Phòng,Xe đã dùng,36000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
8829,Mercedes,Benz E class E250,2010.0,298000000.0,Hà Nội,Xe đã dùng,125638.0,Lắp ráp trong nước,Sedan,Số tự động,Xám,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,1.8
27104,Subaru,Forester 2.0i-L,2023.0,849000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
18366,Toyota,Wigo 1.2G MT,2019.0,255000000.0,TP HCM,Xe đã dùng,65000.0,Nhập khẩu,Hatchback,Số tay,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.2
26794,Volkswagen,Viloran Premium,2023.0,1989000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Nâu,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
5339,VinFast,Lux A 2.0 Premium 2.0 AT,2021.0,685000000.0,Hà Nội,Xe đã dùng,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
3869,Mitsubishi,Xpander Cross 1.5 AT,2021.0,610000000.0,Hà Nội,Xe đã dùng,11000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
18934,Toyota,Fortuner 2.7V 4x4 AT,2015.0,465000000.0,TP HCM,Xe đã dùng,117000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đen,7.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.7
6429,Mercedes,Benz C class C300 AMG,2015.0,715000000.0,Hà Nội,Xe đã dùng,65000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
19748,Toyota,Innova Cross HEV 2.0 CVT,2023.0,990000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nhiều màu,7.0,5.0,FWD - Dẫn động cầu trước,Hybrid,2.0
10018,BMW,7 Series 730Li M Sport,2022.0,3450000000.0,Hà Nội,Xe đã dùng,14000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
4736,Mitsubishi,Xpander Cross 1.5 AT,2024.0,703000000.0,Quảng Ninh,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Cam,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
1490,Ford,Ranger Wildtrak 2.0L 4x4 AT,2021.0,739000000.0,Đà Nẵng,Xe đã dùng,42000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5.0,4.0,4WD - Dẫn động 4 bánh,Dầu,2.0
24478,Mazda,CX9 3.7 AT AWD,2013.0,480000000.0,TP HCM,Xe đã dùng,80000.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.7
16859,Toyota,Innova 2.0E,2015.0,378000000.0,Hà Nội,Xe đã dùng,120000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Kem,8.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
11814,Hyundai,Elantra 1.6 AT,2017.0,428000000.0,Hà Nội,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Cát,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.6
2059,Ford,Everest 2.5L 4x2 AT,2015.0,497000000.0,Hà Nội,Xe đã dùng,79000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
9244,Mercedes,Benz GLC 300 4Matic,2023.0,2739000000.0,Hà Nội,Xe đã dùng,12999.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
7251,Mercedes,Benz E class E200 Exclusive,2024.0,2134000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
7969,Mercedes,Benz S class S450 4Matic Luxury,2022.0,5290000000.0,Khánh Hòa,Xe đã dùng,1000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,AWD - 4 bánh toàn thời gian,Xăng,3.0
18384,Toyota,Vios G 1.5 CVT,2021.0,489000000.0,Hà Nội,Xe đã dùng,45000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
15263,Toyota,Corolla Cross 1.8V,2024.0,800000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.8
15591,Toyota,Land Cruiser 3.5 V6,2023.0,5136000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.4
28564,Kia,Optima 2.0 ATH,2017.0,525000000.0,Hà Nội,Xe đã dùng,77000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nâu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
6985,Mercedes,Benz C class C43 AMG 4Matic,2023.0,2960000000.0,Nghệ An,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
30828,Suzuki,Super Carry Van Blind Van,2021.0,190000000.0,Bình Dương,Xe đã dùng,30000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Trắng,Ghi,2.0,5.0,RFD - Dẫn động cầu sau,Xăng,1.0
25267,Peugeot,408 Premium 1.6 AT,2024.0,1119000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.6
29918,Kia,Cerato 2.0 AT Premium,2021.0,535000000.0,Hải Dương,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nhiều màu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
12203,Hyundai,SantaFe Cao cấp 2.2L HTRAC,2021.0,1098000000.0,Hà Nội,Xe đã dùng,30000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Dầu,2.2
3430,Ford,Ranger XLS 2.2L 4x2 MT,2019.0,495000000.0,TP HCM,Xe đã dùng,58000.0,Nhập khẩu,Bán tải / Pickup,Số tay,Trắng,Nhiều màu,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
70,Nissan,Tiida 1.8 AT,2010.0,225000000.0,Hưng Yên,Xe đã dùng,130000.0,Nhập khẩu,Hatchback,Số tự động,Bạc,Trắng,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.8
25188,Peugeot,408 GT 1.6 AT,2024.0,1269000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Xanh,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.6
28240,Kia,Picanto S 1.25 AT,2013.0,240000000.0,TP HCM,Xe đã dùng,110000.0,Lắp ráp trong nước,Hatchback,Số tự động,Cát,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
10499,Hyundai,SantaFe 2.2L 4WD,2018.0,777000000.0,Thái Bình,Xe đã dùng,55000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Xám,7.0,5.0,4WD - Dẫn động 4 bánh,Dầu,2.2
9129,Mercedes,Benz GLC 300 4Matic,2022.0,2119000000.0,TP HCM,Xe đã dùng,10000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
7059,Mercedes,Benz GLC 300 4Matic,2022.0,2099000000.0,Hà Nội,Xe đã dùng,7000.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
1285,Ford,Ranger Wildtrak 2.0L 4x4 AT,2024.0,850000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Cam,-,5.0,4.0,4WD - Dẫn động 4 bánh,Dầu,2.0
7543,Mercedes,Benz S class S450L,2019.0,2529000000.0,Hà Nội,Xe đã dùng,52999.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,3.0
2695,Ford,Ranger XLS 2.2L 4x2 AT,2021.0,565000000.0,TP HCM,Xe đã dùng,93000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
29000,Kia,Sedona 2.2 DAT Luxury,2021.0,975000000.0,TP HCM,Xe đã dùng,45000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Xám,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Dầu,2.2
17184,Toyota,Vios G 1.5 CVT,2024.0,533000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
27021,Volkswagen,Teramont X Platinum 2.0 AT,2024.0,2168000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
5947,VinFast,Lux A 2.0 Plus 2.0 AT,2020.0,615000000.0,TP HCM,Xe đã dùng,9200.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Nâu,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
27086,Subaru,Forester 2.0i-S EyeSight,2023.0,969000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
20362,Toyota,Camry 2.5Q,2020.0,939000000.0,Hà Nội,Xe đã dùng,50000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.5
16107,Toyota,Corolla Cross 1.8V,2021.0,745000000.0,Đà Nẵng,Xe đã dùng,13900.0,Nhập khẩu,SUV,Số tự động,Xám,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.8
25412,Isuzu,MU-X B7 Plus 1.9 4X2 AT,2023.0,935000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,1.9
8489,Mercedes,Benz GLS 450 4Matic,2022.0,5139000000.0,Nghệ An,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.0
19122,Toyota,Camry 2.0G,2019.0,810000000.0,Hà Nội,Xe đã dùng,44000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
19965,Toyota,Camry 2.5Q,2019.0,890000000.0,Hà Nội,Xe đã dùng,52883.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.5
9993,BMW,3 Series 330i M Sport,2023.0,1809000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Xám,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
23639,Mazda,CX5 Premium Exclusive 2.0 AT,2023.0,850000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Cát,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
28536,Kia,Cerato 2.0 AT Premium,2021.0,560000000.0,Hà Nội,Xe đã dùng,60000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
26724,Volkswagen,Passat 1.8TSI,2016.0,593000000.0,Hà Nội,Xe đã dùng,130000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
9460,Mercedes,Benz S class S450L,2018.0,2059000000.0,Hà Nội,Xe đã dùng,30000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,3.0
19554,Toyota,Corolla Cross 1.8HV,2024.0,955000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Hybrid,1.8
3908,Mitsubishi,Attrage 1.2 MT,2021.0,295000000.0,Lâm Đồng,Xe đã dùng,93000.0,Nhập khẩu,Sedan,Số tay,Xám,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.2
28335,Kia,Morning SX 1.1 MT Sport,2012.0,150000000.0,Hà Nội,Xe đã dùng,200000.0,Lắp ráp trong nước,Hatchback,Số tay,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.1
27911,Kia,Sportage Signature X-Line 1.6T AWD,2024.0,989000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Xanh,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,1.6
18321,Toyota,Land Cruiser 3.5 V6,2024.0,4235000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.4
15423,Toyota,Fortuner 2.5G,2010.0,420000000.0,Bình Dương,Xe đã dùng,130000.0,Lắp ráp trong nước,SUV,Số tay,Bạc,Kem,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
30048,Kia,Carnival Premium 2.2D 8S,2024.0,1279000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Đen,Nâu,8.0,5.0,FWD - Dẫn động cầu trước,Dầu,2.2
20272,Toyota,Land Cruiser VX 4.6 V8,2016.0,3050000000.0,Hà Nội,Xe đã dùng,90000.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,8.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,4.6
2351,Ford,Everest Titanium 2.0L 4x2 AT,2023.0,1285000000.0,TP HCM,Xe đã dùng,16000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
30757,Suzuki,Super Carry Van Blind Van,2000.0,40000000.0,Hà Nội,Xe đã dùng,100000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Xám,2.0,5.0,RFD - Dẫn động cầu sau,Xăng,1.0
21570,Porsche,718 Cayman 2.0 AT,2022.0,3750000000.0,Hà Nội,Xe đã dùng,12345.0,Nhập khẩu,Coupe,Số tự động,Đen,Đen,2.0,2.0,RFD - Dẫn động cầu sau,Xăng,2.0
15164,Toyota,Prado VX 2.7L,2019.0,2088000000.0,Hà Nội,Xe đã dùng,62000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.7
28530,Kia,K3 Premium 2.0 AT,2024.0,639000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
22032,LandRover,Range Rover Evoque Dynamic,2014.0,795000000.0,Hà Nội,Xe đã dùng,85000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
9994,BMW,2 Series 218i Active Tourer,2015.0,495000000.0,Hà Nội,Xe đã dùng,59000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Vàng,5.0,5.0,RFD - Dẫn động cầu sau,Xăng,1.5
21798,Porsche,Cayenne 3.6 V6,2007.0,399000000.0,Hải Phòng,Xe đã dùng,80000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.6
662,MG,HS 1.5T LUX,2024.0,749000000.0,Cần Thơ,Xe mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
26704,Volkswagen,Touareg Luxury 2.0 TSI,2023.0,3099000000.0,Nghệ An,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Kem,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
9023,Mercedes,Benz GLC 200,2021.0,1479000000.0,Hà Nội,Xe đã dùng,42000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,5.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
6099,VinFast,VF9 Plus,2023.0,1198000000.0,TP HCM,Xe đã dùng,13000.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Nâu,6.0,5.0,AWD - 4 bánh toàn thời gian,Điện,0.2
18662,Toyota,Innova 2.0E,2015.0,330000000.0,Điện Biên,Xe đã dùng,8000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Kem,8.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
702,Ford,Everest 2.5L 4x2 MT,2009.0,280000000.0,Hà Nội,Xe đã dùng,120000.0,Lắp ráp trong nước,SUV,Số tay,Hồng,Kem,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
1608,Ford,Everest Titanium 2.0L 4x2 AT,2024.0,1205000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
14297,Honda,Odyssey 2.4 AT,2016.0,935000000.0,Hà Nội,Xe đã dùng,95000.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Đen,8.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.4
30729,Suzuki,Super Carry Truck 1.0 MT,2022.0,249000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Truck,Số tay,Trắng,Ghi,2.0,2.0,RFD - Dẫn động cầu sau,Xăng,1.0
8647,Mercedes,Benz E class E300 AMG,2017.0,1270000000.0,Hà Nội,Xe đã dùng,70000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
7470,Mercedes,Benz GLC 200,2019.0,1050000000.0,Hà Nội,Xe đã dùng,50000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
29663,Kia,Cerato 1.6 AT Luxury,2021.0,550000000.0,Hà Nội,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.6
20014,Toyota,Camry GLi 2.2,2000.0,98000000.0,Hà Nội,Xe đã dùng,300000.0,Nhập khẩu,Sedan,Số tay,Xanh,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.2
23999,Mazda,3 1.5L Luxury,2022.0,589000000.0,Hà Nội,Xe đã dùng,10000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
8800,Mercedes,Benz CLA class CLA 200,2017.0,655000000.0,Hà Nội,Xe đã dùng,102976.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.6
6080,VinFast,Fadil 1.4 AT,2020.0,309000000.0,Hà Nội,Xe đã dùng,26000.0,Lắp ráp trong nước,Hatchback,Số tự động,Cam,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
8863,Mercedes,Benz GLC 300 4Matic,2019.0,1299000000.0,Hà Nội,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
14512,Honda,Brio RS,2021.0,395000000.0,Hà Nội,Xe đã dùng,32000.0,Nhập khẩu,Hatchback,Số tự động,Bạc,Xám,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.2
121,Nissan,Sunny XL,2016.0,168000000.0,Hà Nội,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Số tay,Xanh,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
7378,Mercedes,Benz E class E300 AMG,2022.0,2359000000.0,Hà Nội,Xe đã dùng,16000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
21274,Chevrolet,Spark Duo Van 1.2 MT,2016.0,125000000.0,Hà Nội,Xe đã dùng,10000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Ghi,2.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.2
